t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
210.3,measure,java,235948,1054300,1050847,1054488,5119612,30,2340,1414380
211.4,measure,java,235948,1054304,1050851,1054488,5119612,30,2340,1414380
212.4,measure,java,235948,1054308,1050855,1054488,5119612,30,2340,1414380
213.4,measure,java,235948,1054308,1050854,1054488,5119612,30,2340,1414132
214.4,measure,java,235948,1054308,1050854,1054488,5119612,30,2341,1414136
215.4,measure,java,235948,1054308,1050854,1054488,5119612,30,2341,1414132
216.4,measure,java,235948,1054308,1050854,1054488,5119612,30,2341,1414132
217.4,measure,java,235948,1054308,1050854,1054488,5119612,30,2341,1414132
218.4,measure,java,235948,1054308,1050854,1054488,5119612,30,2341,1414132
219.4,measure,java,235948,1054308,1050854,1054488,5119612,30,2342,1412960
220.5,measure,java,235948,1054308,1050854,1054488,5119612,30,2342,1412892
221.5,measure,java,235948,1054308,1050854,1054488,5119612,30,2342,1412892
222.5,measure,java,235948,1054308,1050854,1054488,5119612,30,2342,1412892
223.5,measure,java,235948,1054308,1050854,1054488,5119612,30,2342,1412900
224.5,measure,java,235948,1054308,1050854,1054488,5119612,30,2342,1412900
225.5,measure,java,235948,1054312,1050858,1054488,5119612,30,2343,1412664
226.5,measure,java,235948,1054312,1050858,1054488,5119612,30,2343,1412664
227.5,measure,java,235948,1054312,1050858,1054488,5119612,30,2343,1411908
228.5,measure,java,235948,1054312,1050858,1054488,5119612,30,2343,1411908
229.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2344,1411156
230.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2344,1411300
231.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2344,1410796
232.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2344,1409812
233.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2344,1408628
234.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2344,1408576
235.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2344,1408576
236.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2345,1408572
237.6,measure,java,235948,1054312,1050858,1054488,5119612,30,2345,1408572
238.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2345,1408572
239.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2345,1406808
240.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2345,1406816
241.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2345,1406592
242.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2345,1406592
243.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2346,1406592
244.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2346,1406340
245.7,measure,java,235948,1054312,1050858,1054488,5119612,30,2346,1406340
246.8,measure,java,235948,1054312,1050858,1054488,5119612,30,2346,1406348
247.8,measure,java,235948,1054312,1050858,1054488,5119612,30,2346,1406348
248.8,measure,java,235948,1054312,1050858,1054488,5119612,30,2346,1406348
249.8,measure,java,235948,1054312,1050858,1054488,5119612,30,2346,1406348
250.8,measure,java,235948,1054312,1050858,1054488,5119612,30,2347,1402580
251.8,measure,java,235948,1054312,1050858,1054488,5119612,30,2347,1405252
252.8,measure,java,235948,1054312,1050858,1054488,5119612,30,2347,1405252
253.8,measure,java,235948,1054312,1050859,1054488,5119612,30,2347,1404496
254.8,measure,java,235948,1054312,1050859,1054488,5119612,30,2347,1404496
255.9,measure,java,235948,1054312,1050859,1054488,5119612,30,2347,1408660
256.9,measure,java,235948,1054312,1050859,1054488,5119612,30,2348,1408660
257.9,measure,java,235948,1054312,1050859,1054488,5119612,30,2348,1408660
258.9,measure,java,235948,1054312,1050859,1054488,5119612,30,2348,1408668
259.9,measure,java,235948,1054312,1050859,1054488,5119612,30,2348,1408668
260.9,measure,java,235948,1054312,1050859,1054488,5119612,30,2348,1407188
261.9,measure,java,235948,1054336,1050883,1054488,5119612,30,2349,1407160
262.9,measure,java,235948,1054352,1050899,1054488,5119612,30,2349,1407160
263.9,measure,java,235948,1054352,1050899,1054488,5119612,30,2349,1407160
265.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2349,1407160
266.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2349,1407160
267.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2350,1407160
268.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2350,1407160
269.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2350,1407168
270.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2350,1406952
271.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2351,1406952
272.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2351,1406700
273.0,measure,java,235948,1054352,1050899,1054488,5119612,30,2351,1406700
274.1,measure,java,235948,1054352,1050899,1054488,5119612,30,2351,1406196
275.1,measure,java,235948,1054352,1050899,1054488,5119612,30,2352,1405944
276.1,measure,java,235948,1054356,1050903,1054488,5119612,30,2352,1405952
277.1,measure,java,235948,1054356,1050903,1054488,5119612,30,2352,1405952
278.1,measure,java,235948,1054356,1050903,1054488,5119612,30,2352,1405608
279.1,measure,java,235948,1054356,1050903,1054488,5119612,30,2353,1405612
280.1,measure,java,235948,1054356,1050903,1054488,5119612,30,2353,1405104
281.1,measure,java,235948,1054356,1050903,1054488,5119612,30,2353,1404600
282.1,measure,java,235948,1054360,1050907,1054488,5119612,30,2354,1402088
283.2,measure,java,235948,1054360,1050907,1054488,5119612,30,2354,1402096
